iter	Passed	Remaining
401	16382	24491
402	16418	24443
403	16453	24393
404	16489	24346
405	16524	24295
406	16564	24253
407	16598	24202
408	16635	24155
409	16671	24108
410	16706	24059
411	16744	24013
412	16778	23963
413	16813	23913
414	16849	23866
415	16884	23817
416	16919	23769
417	16958	23725
418	16994	23677
419	17027	23626
420	17061	23577
421	17097	23529
422	17132	23480
423	17168	23433
424	17203	23384
425	17237	23336
426	17277	23294
427	17312	23245
428	17349	23200
429	17395	23166
430	17435	23125
431	17471	23078
432	17514	23040
433	17550	22994
434	17588	22949
435	17625	22905
436	17663	22860
437	17698	22813
438	17734	22766
439	17767	22716
440	17803	22670
441	17837	22621
442	17873	22575
443	17908	22527
444	17941	22476
445	17976	22429
446	18012	22383
447	18047	22336
448	18082	22290
449	18118	22243
450	18151	22194
451	18189	22150
452	18223	22102
453	18258	22055
454	18291	22006
455	18326	21959
456	18361	21912
457	18394	21863
458	18429	21817
459	18466	21772
460	18506	21731
461	18548	21693
462	18582	21645
463	18618	21600
464	18654	21555
465	18695	21516
466	18732	21471
467	18770	21428
468	18805	21382
469	18841	21337
470	18875	21290
471	18909	21243
472	18944	21197
473	18980	21152
474	19017	21108
475	19055	21065
476	19091	21020
477	19125	20974
478	19164	20932
479	19200	20887
480	19234	20840
481	19272	20798
482	19308	20753
483	19340	20704
484	19374	20658
485	19408	20611
486	19444	20567
487	19481	20523
488	19517	20479
489	19553	20435
490	19589	20390
491	19622	20343
492	19656	20296
493	19691	20251
494	19725	20205
495	19765	20165
496	19802	20122
497	19836	20076
498	19873	20033
499	19912	19992
500	19952	19952
501	19990	19910
502	20026	19866
503	20062	19823
504	20100	19780
505	20138	19739
506	20176	19697
507	20210	19651
508	20245	19606
509	20279	19560
510	20314	19516
511	20351	19473
512	20387	19430
513	20425	19388
514	20464	19347
515	20506	19309
516	20546	19269
517	20581	19225
518	20625	19188
519	20663	19147
520	20705	19110
521	20744	19068
522	20783	19028
523	20820	18985
524	20861	18946
525	20895	18901
526	20928	18855
527	20963	18810
528	20998	18766
529	21036	18725
530	21076	18686
531	21119	18648
532	21157	18607
533	21193	18564
534	21238	18529
535	21274	18485
536	21310	18442
537	21347	18399
538	21384	18358
539	21421	18315
540	21457	18272
541	21492	18229
542	21531	18187
543	21566	18144
544	21602	18101
545	21643	18062
546	21680	18021
547	21715	17976
548	21754	17936
549	21789	17892
550	21826	17850
551	21861	17807
552	21896	17763
553	21930	17718
554	21964	17674
555	21998	17630
556	22033	17587
557	22068	17543
558	22103	17500
559	22138	17457
560	22171	17411
561	22207	17369
562	22245	17328
563	22285	17289
564	22325	17249
565	22361	17206
566	22396	17164
567	22432	17121
568	22471	17081
569	22508	17039
570	22545	16998
571	22580	16954
572	22615	16912
573	22652	16870
574	22691	16830
575	22725	16786
576	22760	16743
577	22793	16699
578	22827	16656
579	22861	16611
580	22895	16568
581	22928	16524
582	22963	16481
583	23000	16440
584	23034	16396
585	23068	16353
586	23101	16309
587	23135	16266
588	23170	16223
589	23204	16179
590	23243	16139
591	23281	16099
592	23317	16057
593	23351	16014
594	23389	15974
595	23424	15931
596	23457	15887
597	23492	15845
598	23525	15801
599	23559	15758
600	23559	15758
601	23594	15676
602	23630	15635
603	24590	16202
604	24631	16161
605	24666	16117
606	24701	16072
607	24735	16026
608	24771	15982
609	24805	15937
610	24840	15892
611	24876	15848
612	24910	15803
613	24945	15759
614	24979	15713
615	25015	15670
616	25053	15628
617	25087	15582
618	25124	15539
619	25159	15495
620	25192	15449
621	25231	15408
622	25267	15364
623	25302	15320
624	25338	15276
625	25373	15232
626	25408	15188
627	25442	15143
628	25478	15100
629	25514	15056
630	25547	15011
631	25581	14966
632	25617	14923
633	25651	14878
634	25684	14833
635	25724	14792
636	25763	14751
637	25802	14709
638	25840	14667
639	25876	14624
640	25915	14582
641	25956	14542
642	25996	14501
643	26031	14457
644	26066	14413
645	26105	14372
646	26140	14328
647	26175	14285
648	26214	14243
649	26250	14200
650	26286	14157
651	26321	14113
652	26321	14113
653	26356	14029
654	26391	13986
655	26423	13941
656	26456	13896
657	26494	13855
658	26529	13811
659	26564	13768
660	26601	13725
661	26633	13681
662	26672	13640
663	26707	13596
664	26740	13552
665	27695	13973
666	27731	13928
667	27770	13885
668	27803	13839
669	27838	13793
670	27872	13747
671	27907	13703
672	27943	13658
673	27986	13617
674	28024	13573
675	28061	13529
676	28098	13485
677	28135	13441
678	28135	13441
679	28172	13356
680	28212	13313
681	29170	13702
682	29215	13659
683	29253	13614
684	29291	13568
685	29330	13524
686	29369	13478
687	29405	13432
688	29442	13386
689	29478	13340
690	29518	13296
691	29552	13249
692	29592	13204
693	29630	13159
694	29668	13114
695	29706	13069
696	29746	13024
697	29787	12980
698	29825	12936
699	29862	12890
700	29900	12845
