iter	Logloss
0	0.6064936171
1	0.5357069989
2	0.4878982445
3	0.459873429
4	0.4313384098
5	0.4094597952
6	0.3948351642
7	0.3790812738
8	0.3676019779
9	0.3609046469
10	0.3529793769
11	0.3468653551
12	0.3433625291
13	0.3395757005
14	0.3367989568
15	0.3346823447
16	0.3329085701
17	0.3300204996
18	0.3276173676
19	0.3257011572
20	0.3245333037
21	0.3226863997
22	0.3210983645
23	0.3203476972
24	0.319361613
25	0.3185297248
26	0.3173123869
27	0.3168765586
28	0.3164526013
29	0.3157515409
30	0.3153410151
31	0.3145611324
32	0.313726934
33	0.3133945305
34	0.3126591297
35	0.3124119627
36	0.3120366578
37	0.3117681941
38	0.3114518739
39	0.3111494547
40	0.3108408221
41	0.3105902388
42	0.3102638642
43	0.3098046047
44	0.3094476418
45	0.309206295
46	0.3089881227
47	0.3087734773
48	0.3085654091
49	0.3082484333
50	0.3080546772
51	0.3078831658
52	0.3077027413
53	0.3074976808
54	0.3072046618
55	0.3070503672
56	0.3068696996
57	0.3066845538
58	0.3065071476
59	0.3062228343
60	0.3060531168
61	0.3058088147
62	0.3056259539
63	0.3053708884
64	0.3051214893
65	0.3049442864
66	0.3047895921
67	0.3045815945
68	0.3044411273
69	0.3043371101
70	0.3041897113
71	0.3040254499
72	0.3039317834
73	0.3037169988
74	0.3035934142
75	0.3034461012
76	0.3033250109
77	0.3031334241
78	0.30296095
79	0.3028552979
80	0.3027571583
81	0.3026412021
82	0.3024936544
83	0.3023479017
84	0.302225852
85	0.3021016166
86	0.3019225001
87	0.3016592002
88	0.3014906088
89	0.3013730692
90	0.3012826436
91	0.3011395425
92	0.3010406092
93	0.3009166781
94	0.3008107088
95	0.3007205209
96	0.3005971197
97	0.3004780914
98	0.3002319319
99	0.3000378176
100	0.2999400622
101	0.2998233469
102	0.2997474721
103	0.2996584761
104	0.2995386581
105	0.2992777997
106	0.2990191701
107	0.2988806982
108	0.2987741923
109	0.2986731238
110	0.2986063144
111	0.2985067482
112	0.2984087118
113	0.2982646704
114	0.2981240841
115	0.2980531804
116	0.2979757648
117	0.2978607069
118	0.2977752284
119	0.2977213281
120	0.2976307109
121	0.2975596408
122	0.2974594822
123	0.2973659832
124	0.2971465267
125	0.2969862509
126	0.2967810001
127	0.2966877413
128	0.2964836297
129	0.2964245139
130	0.2963453473
131	0.2961463074
132	0.2960358356
133	0.2959333096
134	0.295869916
135	0.2957949781
136	0.2956132632
137	0.2955168702
138	0.2954007835
139	0.2953329024
140	0.2952469728
141	0.2951396922
142	0.2950426144
143	0.2949797491
144	0.2948635213
145	0.2947607421
146	0.2946640035
147	0.2945794856
148	0.294434136
149	0.2943137029
150	0.2940833596
151	0.2939752868
152	0.2938903642
153	0.2937234652
154	0.2936415526
155	0.2935617852
156	0.2934192808
157	0.2933610671
158	0.2932866169
159	0.2932084613
160	0.2931361513
161	0.2930563317
162	0.2929903615
163	0.2928954586
164	0.2927713217
165	0.2926997626
166	0.2926085416
167	0.2924961863
168	0.2924243105
169	0.292356563
170	0.2922349488
171	0.2921893354
172	0.2921002711
173	0.2920458042
174	0.2919314538
175	0.2918849701
176	0.2917739394
177	0.291710261
178	0.2916437381
179	0.2915572503
180	0.2914825308
181	0.2913838766
182	0.2913179013
183	0.2911900182
184	0.2911101906
185	0.2910350737
186	0.2909628616
